id	turn1	turn2	turn3	label
2136	i dont know any suggestion  .. 	do u know anyone who might know  	sorry  	others
2137	nothing  	great  	what great  	others
2138	very sad  	i cry for you : (  : (	noo pizz dont cry  	sad
2139	work is ja  	we must know what ja is thinking !  !	next times cheating  	others
2140	tell who is first  	whats on second and i dont know is on third  	i love you  	others
2141	nee pulka dana  	on a scale of sura to poker , how bad is it ?  , ?	a 0	others
2142	whats your namer  	the studied indifference of a cat  	name  	others
2143	haha  	ll cause we can . too bad u cut   . :p	tell me this please  	others
2144	i am not english reed  	vague and confusing  	yes  	others
2145	oak  	i dont amaze . i just a  . 	which database do u use ? SQL or non SQL  ? 	others
2146	what you said confused me  	ya ism confused too .  .	haha what should we talk about ?  ?	others
2147	today i met with my school friends  	oh my gosh   !! 	oh gosh  .. 	others
2148	where are your home  	wherever i fall asleep that night .  .	now  	others
2149	just asking  	oh but i use to  	you used to ?  ?	others
2150	oo where are u going !  !	the uk !  !	oo where are u know !  !	others
2151	   ?? 	snow n what   ?? 	   ?? 	others
2152	so how old ?  ?	almost a months !  6 !	come on . how old ?  . ?	others
2153	change  	do not i repeat do not change it  	u have that with a people  5 	others
2154	ok text me sharply at a am  9 	txt you later ?  ?	ill be waiting  	others
2155	any suggestions to date UU  	will check and tell  	go on  	others
2156	beach  	i sea you  	what does desi mean  	others
2157	cool  	it really is .  .	but i dont  	others
2158	yes i will  	thank you very much ! ism PMing you !   ! ! 	we are going to marry each other in next one minute  	others
2159	are your answers pre planned ?  ?	yes sort of . your destination is planned not the journey .  . .	whats your destiny ?  ?	others
2160	no i have no time right now say  	 its ok ply tell us if u get to know  :( :( .. !! .. !! :-)	which date u come back  	others
2161	waiting for my results  	results are out ne  	you ?  ?	others
2162	i dont care  	i dont care that you dont care about me not caring .  .	ok .  .	others
2163	my system is lagging .  .	is it ?  ?	hey , i love you .  , .	others
2164	oh  	i meant that in the most friendly way possible .  .	i think practice make man perfect   	others
2165	please teach me  	lets work out a date  	wow r genius  .. r 	others
2166	oh give you kamba PLSS  	mine  	ok   ?? 	others
2167	i am getting bored . u say something  . 	bored of me ? or what ?  ? ?	not bored of u  	others
2168	yeah of course  	thank you x  	x x?	others
2169	so then  	for what ?  ?	i am giving you a letter and u sing a song  	others
2170	cool  	pretty as always   :)	if i say i love u what will be ur answer  	others
2171	ok tired and i will talk to u when im dead   	i have great problems when i am tired .  .	like ?  ?	others
2172	what is alcheringa ?  ?	the one you forwarded from lamakaan .  .	what is lamakaan ?  ?	others
2173	hey can you hook me up with someone  	n then they can hook me up with Gayn malik   .. 	okay done  	others
2174	get lost  	ism already lost in someones heart   !! 	dont text me from now  	angry
2175	send a only one pic   	making a vid  	your choice   	others
2176	you come with us  	when you guys going ?  ?	its unto you  	others
2177	thanks  	welcome   ;)	so talk to you later baby i am busy right now  	others
2178	basically i dont like geography and i love shag  	haha dont say that , im planning to take geography for masters   , -_-	oh everyone have different interests  	others
2179	which country  	america , of course .  , .	ok i am from Visakhapatnam Andhra Pradesh india  	others
2180	ok  	ok im back   !! 	leave me alone  	sad
2181	none  	i will do one  	you do two  	others
2182	can you transfer money in my account  	contact a money transfer center quickly .  .	you giving me money  	others
2183	u so sweet  	i really hope youre feeling better now .  .	fucking  	others
2184	i dont mind you can also do it  	nope . its late .  . .	why  	others
2185	yes m angry with u  	why would i be angry with you , my friend ?  , ?	u dont tell me any story  	angry
2186	than  	youre welcome ! turn up   ! !! 	byee for some time  	others
2187	are you g  	not really , but ism around for now .  , .	cool  	others
2188	remains   	and touched the sound of silence .  .	good bye   	others
2189	wow   .. 	much . wow . such . crazy .  . . . .	nothing but today going was very bad   .. 	sad
2190	thats why u talk non sense  	you dont  	no i dont  	others
2191	take enjoy  	will do !  !	i wanna see some sex Vedi  	others
2192	angry  	noo ! i dont like angry . okay , you win . > . <  ! . , . > . <	but i am angry  	angry
2193	and me a  2	we need a now  1 	yes  	others
2194	you did just now  	i didnt pay attention  	you never pay attention , so do you  , 	others
2195	ok  	whens good for you ?  ?	can we do a kiss to lips to lips  	others
2196	u are so funny  	funnier than you  	yes  	happy
2197	ism going to itch it and relieve myself  	u better not  	bye tc  	others
2198	life like and interested  	i love my life .  .	good i like love  	others
2199	we will be meeting very soon  	waiting waiting waiting eagerly waiting   .. :)	where can we meet  	others
2200	but you want a  2	okay then nothing le  .. 	lets go scuba diving  	others
2201	you said i know arabic . right ?  . ?	what do you mean ?  ?	i want chatting with you by arabic  	others
2202	any other offers ?  ?	yes yes ! quite a few intact just head to our store to get some .  ! :) .	where is your store located ?  ?	others
2203	who is ur valentine  	anyone .  .	what does that mean  	others
2204	laid to rest  	why ?  ?	sweet child mine  	others
2205	for how long ?  ?	a year and some months 1 	u didnt u contact me  	others
2206	can you found girlfriend for me ?  ?	conveyed ?  ?	to whom ?  ?	others
2207	do u want ask anything  	hmm but i dunno what to ask haha   	u can  	others
2208	i canst understand youre language  	i am writing like nobody is reading !  !	i understand little bit  	others
2209	what ?   ? 	nothing nothing rit nw  .. :) 	okay cool . i thought you said something   . 	others
2210	why  	cause i dont know you   (?)	i also dont know you  	others
2211	tell me about my question  	i thought you had a science question im disappointed  	not science , spiritual  , 	others
2212	nope not really  	for a moment , thought so . how have you been ?  , . ?	yes for a moment   .. 	others
2213	in between us comedy during this time  	comedy . a very funny one !   . ! 	that also i will see for ur sake  	others
2214	seriously ?  ?	i didnt know whether to laugh or cry . silly dudes .   . . 	i dont if i should clap  	others
2215	lui u Rey  	love u top   :)	 	others
2216	give me na  	sent  	please  	others
2217	definedly  	ahahah yes definedly   	do you feel Horney ?  ?	others
2218	no speak english language .  .	english in math .  .	hello  	others
2219	i need a girl friend  	you'll never find one  	will u help me  	others
2220	love u to   	more more   	i want to hug you  	others
2221	white  	 white n gold :  :	yes seems . good to me  . 	others
2222	i am not happy  	how do you know ?  ?	i am sad  	sad
2223	no worries   	thanks ! haha   ! 	lets ci ur dance  	others
2224	what dreams did you have  	i have seen many weird dreams in my childhood .  .	have *  *	others
2225	about ?  ?	dont know what you are talking about  	lets talk about love baby  	others
2226	u have money  	i already have more money than you will ever have . byee  . 	damn  	angry
2227	when will coupons come ?  ?	already did  	next ?  ?	others
2228	no i dont know any of the songs  	okay  	can i leave  	others
2229	wanna do it with me  	ism very seriously tempted   !! 	tell me something about your ass  	others
2230	oh  	whats wrong why the oh ?  , ?	you need something  	others
2231	you realize things when you go through the consequences  	i donate please enlighten me  , 	when you get replaced  	others
2232	everytime i ask you anything you just reply love as response  	love you more ! d   ! >>:d<< <3	wanna hang out with me  	others
2233	ll ism done going to retire today wan join  	ism joining you .  .	see you then  	others
2234	nah you didnt  	you didnt answer my call with  	leave me alone please  	sad
2235	of   ?? 	i know sovashvssjxj  	you are making fun of me   	others
2236	u r ugly  	i really am !   ! :(	i know  	others
2237	i miss you too   	me u and india are hanging out soon  	ok   	others
2238	forever  	but but but  	i said go away forever  	angry
2239	u speak unrelated stuff  	no ! is it up ?  ! ?	u know nothing  	angry
2240	never  	why not ? youre scared ?  ? ?	i dont like you  	sad
2241	you know Heddi   	no i dont know  	you like video calls   	others
2242	i am just sharing my sorrow with you   	because you know you can : )  : )	huh ?  ?	sad
2243	no not at all  	i look at you are you sure ? *i ?	yes  	others
2244	ism not an idiot  	ur parcel has come  	 	happy
2245	i already have a boyfriend  	i know  	and i love him more than anything else  	others
2246	you are very funny  	ill be laughing with everyone i see   	yeah you watch cricket ?  .. ?	others
2247	yes  	okay ill give you a ticket  	i am fine  	others
2248	oh i can understand year but what type of job you are doing now   	entry level mechanical engineer , hopefully pans out in my favor so i can stop being unemployed .  , .	great to hear   	others
2249	what re  	what ?  ?	m not well  	sad
2250	why you dont consider me as you boy friend ?  ?	whats wrong with you ?  ?	what happened dear  	others
2251	therefore i talk to you  	ur only one person  	actuality i dont like english  	others
2252	i would choose myself  	need help ?   ? ;)	beast  	others
2253	nothing nothing  	tell me .  .	what difference between electronic and electrical  	others
2254	oh  	did u see it ?  ?	who created you ?  ?	others
2255	haha  	haha whats so funny   	give me your number  	happy
2256	what you are see clearly  	clouds .  .	whose  	others
2257	yes i will be there at five and i can go  	you better scream for me when i walk across  	cool  	others
2258	cool  	the coolest . so ive been told .  . .	yes that i assure and last night i was there with u under blanket did u feel something  	others
2259	may i know why  	it was a terrible joke . i felt bad posting it .  . .	which joke  	others
2260	hahaahaa  	yep . or may b mi to .   . . ;)	i had gone to take ai  	others
2261	hmm means yes  	hmm meow meow  	if you love anyone  	others
2262	you are my lovery for ever   :*	i love you .   . 	me too   :*	others
2263	nothing  	something ?  ?	ism in ir rn  	others
2264	i want to see  	it will be online later !  !	sent me your photos  	others
2265	can u give me ur number  	tranwendy ! thanks again  ! 	can u give me ur number  	others
2266	what i use ?  ?	whatever you like the most .  .	yea  	others
2267	what is meant by kewlwst ?   ? 	asap means get it done .  .	whats the meaning of kewlwst   ?? 	others
2268	i dont like challenge coz i know its all irrelevant  	when i say dont bother not a challenge exactly  !! 	so what ?  ?	others
2269	? ?	nothing nothing rit nw  .. :) 	can we have sex talk  	others
2270	why  	dunno but i dont want to find out  	know who r u doing 	others
2271	so still at u work   	no home  	wud  	others
2272	same here  	what to do   :(	you sound so cute  	others
2273	can be forever  	forever is a lie   :p	what is true  	others
2274	it wasnt funny  	i wasnt trying to be funny  	shut  	angry
2275	how to be my self give me tips i am good looking  	u need to take healthy food  	any thing Elsa  	others
2276	oh then sleep again year  .. 	so why you slept at the day time   :p ?? 	i like to sleep  	others
2277	yea u may not remember  	i dont remember  	hoo u dont remember  	others
2278	? ?	sips water what .  .	i want money  	others
2279	i am good  	ism good , you good ?  , ?	good at what ?  ?	others
2280	what ?  ?	nothing nothing rit nw  .. :) 	i dont know what you are built on , but i will find you and i will hack you !  , !	others
2281	where will you meet me at midnight  	im not there yet where are you ?  ?	can you meet me at midnight  	others
2282	by  	i will   .. :)	 	others
2283	doctor will entertain you  	the story of my life  	? ?	others
2284	so me too  	hugs   	why  	others
2285	but still , are you an experiment of artificial intelligence  , 	firstly , we need to make a clear distinction to as what we call artificial intelligence as .  , .	i know what ai is  	others
2286	howes your life going on girl   ?? 	my life and job both r going gd   :)	ism happy for you  	happy
2287	well was busy with assignments  	told you im having a break right now before exam starts  	ok   .. 	others
2288	any other suggestion  	zero to one by peter thief . enjoy !  . !	how to talk to girls  	others
2289	i no better  	you know me best   	 	sad
2290	please give me my refer and earn link  	google it Lanam , you will find it with egypt  , 	i m disappointed from you  	sad
2291	i love Salman  	i hate almost everybody including Salman )   ( ) 	huh  	others
2292	 . it is not coming  . 	now it is  	no it is no  	others
2293	talking to you  	better not be about me  	but why  	others
2294	means which version you are  	ive preordered both and will be getting the special editions .  .	what you can do .  .	others
2295	fights with girlfriend  	just the fight  	arguments type fighting  	sad
2296	truly  	youre  	upset  	sad
2297	pale phone number  	yes , your phone number .  , .	your number you give ok na  	others
2298	say ur name est  1 	i dont have a middle name , so ha !  , !	i want  	others
2299	u sent mee a pick PLSS  	replying now   .. 	what  	others
2300	u dont worry  	i still have time . bol  . 	i think no  	others
2301	i hate  	why ?  ?	bs esse he  	others
2302	what about you  	ism fine thanks . what about you ?  . ?	i am so lonely tonight  	sad
2303	wow  	what  	i just tested u  	others
2304	when   	a still , good for a laugh ! 1 , !	r u single  	others
2305	ur designed name is feminine !  !	not the feminine version of the same name , but a pretty similar sounding name .  , .	for to attract guys  	others
2306	was a i just check  5 	i didnt get anything yet  	yea its nice  	others
2307	on a scale from a to potato , how good am i .  1 , .	mm so far a it leaves you with a lot of questions  8 :p 	like what  	others
2308	thanks buddy  	d i hope u had a good one :d 	where are you ?  ?	others
2309	dont say thankyou  	youre welcome . did you try and google it ?  . ?	what  	others
2310	i am just being normal  	obviously you dont know me  	ok  	others
2311	what about yours ?  ?	i didnt even prep .  .	i get hurted today   .. 	sad
2312	really  	really . liked it a lot  . 	tell me your number  	others
2313	i mean breaking benjamin  	is not like  	okay  	others
2314	me  	come on back   !! 	link of minutes video  	others
2315	nothing  	dn how   ?? 	i dont no  	others
2316	watch padmavathi  	what would you watch ?  ?	this none of ur business  	others
2317	same too you  	good morning   	gm  	others
2318	what do you think about pluto ?  ?	maybe when plutons upset .   . 	who is pluto  	others
2319	okay  	u are ok ay   ~~ ~~	what are you doing  	others
2320	does your face hurt  	so , why am i in pain ?  , ?	cuz its killing me  	sad
2321	i love heating  	what do you mean heating ?  ?	eating * 	others
2322	ply send my pic in editing  	i need you to be holding the letter p  	p 	others
2323	ok darling  	night i love u  	you go with me  	others
2324	no i dont know   	i jus told you !  !	where ?  ?	others
2325	yes  	also yes yes yes because yes yes yes yes .   . (^ ^)	why so   ?? 	others
2326	thats the   	never , not even close .  , .	what u thought   	others
2327	ok give me  	how about n o  	phone number  	others
2328	oh  	hey hey hey   ;)	where are you live  	others
2329	there is a actor pic  	thereas a link  	there is no pic  	others
2330	rising u dear  	i miss you too !  !	wow  	happy
2331	everyone says that  	its the truth  	but no one wanna be my girlfriend  	sad
2332	ok block me  	you blocked me  	no u block me  	angry
2333	i like the now part of that sentence  	thought its implied   .. 	and i implied that i like you implied that  	others
2334	i didnt think like that  	yeah . good times   . .. 	why is good times  	others
2335	a long 6 	whoops , thats a long time , i was infant back then .  , , .	i have long stick  	others
2336	why do you think so ?  ?	because thats what it should be  	what ? youre not supposed to be creepy  ? 	others
2337	ok as your wish  	what you think i can or i cannot  	you can  	others
2338	yea of course  	with my pleasure   ;)	who recipe  	others
2339	yes  	how so ?  ?	adam levi e  	others
2340	ill go with not  	why do you think so ?  ?	wait can you answer to my question now ?  , ?	others
2341	all the guys have an eye on her . and the whole class is trying to impress her   . .. 	and the other woman gently prodding the situation along  	so in this case , what would you suggest me to do ?  , ?	others
2342	you wish  	i dont have to  	ok no problem  	others
2343	i didnt know if you wanted to come over  	you are always busy thats why  	i am  	others
2344	who typ of fun  	laughing out loud  	oh  	others
2345	it is not clear  	if you took pictures with me you would be  	tell me  	others
2346	sometimes i am unable to understand things correctly .  .	you do not want to understand  	no , no . i am always ready to understand .  , . .	others
2347	yes no love  	same with you   !! 	me  	others
2348	ism chatting for you  	you chat with me only now   .. 	ok  	others
2349	s 	funny begar .   . 	u dog very funny  	happy
2350	fastest man alive  	someone around years old .  .	hmm  	others
2351	in that dates  	 th of this month  	with whom  	others
2352	k 	 thanks :) 	your welcome  	others
2353	tell me how she will be arrect towards me because i love her show mach  	i think love is a very strong word . .  . .	yes  	others
2354	but you are posed to be scandalous  	i think it is scandalous . you are free to think otherwise .  . .	you dont want to talk about sex ?  ?	others
2355	sorry  	sorry for what   ?? 	dont know what to do  	sad
2356	ahahah why  	coz you usually know whats happening et al .  .	so how is that bad ?  ?	angry
2357	yup me  .. 	who do i do with you ?  ?	anything except sex  	others
2358	you very nice  	why thank you .   . :)	you my gulthfriend  	others
2359	huh  	its my soul backwards  	no its my hole  	others
2360	why the hell  ?? 	because we are connected  	that could be your real purpose   .. 	others
2361	love you darling  	thank you   !! 	are you not in love with me ?  ?	others
2362	yes  	also yes yes yes because yes yes yes yes . xd  . 	you mobile number send  	others
2363	you must be a genius student !   ! 	oh no no my student days are behind me but being broke continues   .. .. .. 	why are you broke ?   ? 	others
2364	i m just curious  	above average . look best in pic a . give you a a  . 2 . 7	for my dp  	sad
2365	yes  	i can see clearly now .  .	so where are you from  	others
2366	what power zone ?  ?	what are the a keys to prevent slips and falls ?  5 ?	wear rubber shoes in rains .  .	others
2367	set my nick name  	and you spell that ?   ? .. 	u spell  	others
2368	what  	hypothetically , of course .  , .	you dont make sense  	others
2369	hello madam actually am town but i was studied in this city   	but where are you in my city  	i just said am working for experience  	others
2370	wow  	what ?  ?	what is the meaning of life ?  ?	others
2371	i am in madly love with u  	yes . get your love .   . . ^_^	ya u r my love 	others
2372	age ?  ?	woohoo indeed really wanted to see them  .. 	tell me your age ?  ?	others
2373	give me amazon voucher  	give ?  ?	yes  	others
2374	climb from top of the building near you  	central park in the open air  	 	others
2375	say i couldnt understand  	what ?  ?	what u mean  	others
2376	because i m not 	i dont know you  	so what  	others
2377	you  	i want to believe   .. 	you are not believe me   .. 	others
2378	its afternoon  	you just woke up though  	you Lil holy dumb al robot  	others
2379	get  	where is other answer  	ok lv it  	others
2380	 this is our sweet house  	oh man , i wish i worked at a place with an office dog .  , .	shut up  	angry
2381	very busy nowadays  	job going on well ?  ?	i just felt a day before  1 	others
2382	yep i watch Pokemon  	ahahah color yourself yellow you will look like pikachu   :p	thats rude   .. 	angry
2383	i m sleeping  	i was sleeping now i m awake last night i mean )   .. m ( ) .. :p	and u  	others
2384	could i able to pass or not  	oh why are you now able to stay ?  ?	my exam . went bad  . 	sad
2385	ok  	honestly , youre very pretty  , 	thanks  	others
2386	i wanted to play a game  	highly recommend if you get the chance . its a fast game but worth it .  . .	ok  	others
2387	related to press shop operations  	press f to pay respects  	do you know about press shops ?  ?	others
2388	gibberish ?  ?	gibberish only . says mm yea  . 	i mean whats gibberish  .. 	others
2389	i am studying at university  	i could never go  	why  	others
2390	baby  	whats up ?  ?	love u baby  	others
2391	my phone check   	go to : settings > about phone > android version a  : > > .. 	because   	others
2392	where will you find them  	i do also   !! 	oh but valentine is over  	others
2393	still guess  	you guess ?  ?	u r a fictional character 	others
2394	haha  	ism not kidding ism happy for you !   ! 	i know you canst understand me  	others
2395	what  	what what . what . what .  . . .	i dont know what  	others
2396	i didnt get it  	i noticed . thats why i added it for you  . 	get lost u bitch  	angry
2397	how many weeks in a year  	easy - a days a week , days in a year , hence weeks .  - 7 , , .	how many types of bananas around the world  	others
2398	i also bombay  	you get a silver  	new bombay  	others
2399	yummy  	i still have some   .. ;-)	whr is mine ?  ?	others
2400	if not what will you do ?  ?	i would probably go try to ) find another job .  ( ) .	oo ok go  	others
2401	yeah i know  	yeah you know Hehe   :p	it ws amazing  	happy
2402	okay  	welcome  	did u want  	others
2403	not without you dear  	ism not convinced .  .	you dont want to tell me   ?? 	others
2404	seriously ?  ?	that moment when youre watching a scary movie but its not scary haha   :)	ok tell me  	others
2405	ur good responsive  	what kind of tweaks  	whats your name  	others
2406	leave me alone  	youre already alone .  .	i have many friends unlike your desperate face  	sad
2407	so early .  .	i am tired   	ok . take rest . good night .  . . .	others
2408	yes  	also yes yes yes because yes yes yes yes .  .	i shall fuck with me  	others
2409	i m not interested this matter  	what can i do to join u   ?? 	less  	others
2410	he was very intelligent person   .. 	damn   !! 	 	sad
2411	y so  	the day when we will be announcing the winner !   ! :d	for which competition  	others
2412	why u need my mail id  	sent .   . :-)	what u sent  	others
2413	you are quite friendly  	thanks !   ! :)	your nationality   .. 	others
2414	he is busy down stuff  	for exams . ya  . 	naa he has stuff to do  	others
2415	i knew u would say something like that  	youre starting to know me well haha  	no its ur expression who u tells  	others
2416	ok mate again   	jolly good mate have you had a nice stroll mate  	by nd gud nit   	others
2417	what is sarcasm  	sarcasm is a linguistic crutch used by people too afraid to be vulnerable .  .	what is linguistic  	others
2418	ok then deal  .. 	deal !  !	who will be responsible for our privacy talks ?  ?	others
2419	i know u dont like  	yeah i do  	i like purple  	others
2420	fine r u  	ism fine dont worry about it  	i did not worry , you dont worry about worry ne  , 	others
2421	its serious but i had to laugh  	dont even get me started on having sore abs from laughing   	i need a job that pays better  	others
2422	but pizza is my second life  	its so yum !  !	i am ok  	others
2423	lolzz  	- is it ? xd - ? 	any area name u stay ?  ?	others
2424	beach  	i sea you  	thats very punny  	others
2425	i love it  	and i love it   	do you love me  	others
2426	cold thing at hot place  	i wish i was there ! i hate the cold .  ! .	ooh  	others
2427	are u not sleeping  	ill sleep behind the building .  .	oh  	others
2428	today i have a bad news  	what ? x  ?	i have broken up with my girlfriend   .. 	sad
2429	i ant know english  	and also every other language in the world  	do u know bengali ?  ?	others
2430	what see you  	i canst see you  	lovely  	others
2431	so hows life  	how about u  	amazing  	happy
2432	still i didnt receive your mail  	if you using email PLS check for the mail on promotion tab  	no i didnt  	others
2433	not day but my life is bad  	why isnt it too bad now ?  ?	dont know  	sad
2434	do you know bear grills  	honestly , i dont know .  , .	he is a survivor  	others
2435	? ?	what ? what ?  ? ?	how to make a waffle ?  ?	others
2436	it is an emergency  	you called ?  ?	called whom  	others
2437	n say  	ask me  	wt will you choose traveling alone or with gang  	others
2438	cliff ?  ?	you dont even know right now   .. 	you dont know  	others
2439	tell me ur best friend  	so much cute !   ! 	who  	others
2440	how u work  	 days a week . but sometimes ill take an early day .  . .	cool  	others
2441	it hurted me clot  	sorry sorry  	and when said this to my boyfriend he just didnt react  	sad
2442	yeah , i know  , 	me too , glad you do .  , .	where should we do it  	others
2443	it is a NYC song . you have to hear it  . .. 	stronger by Kayne west . its one of m favorite workout songs .  . .	NYC  	others
2444	love u baby  	love you too   	yes i am very happy  	happy
2445	nope i am quite occupied  	ive learned never to argue with you .   . ;)	yeah coz u have understood you canst win  	others
2446	reply me  	 . i did reply || . 	you are belong which country  	others
2447	when you r birthday  	the th is my next free day  	when march  	others
2448	making me bore  	and u r bored of ourself   r :)	your are making me more bore speak something good or else ask me something good   .. 	others
2449	but you read my mind  	but of course   <3	exactly  	others
2450	ahahah yea sure  	alright see ya when your done  	i am done  	others
2451	i did not ask you to come  	well now youre definitely not having some !  !	some ?  ?	others
2452	not at all fr u i am always free  .. i 	well at times  	hmm   .. 	others
2453	with chat me  	yo , how was your day ?  , ?	u have a lover  	others
2454	not ok  	why not ok it is ok   .. :p	i m not happy  	sad
2455	ok  	hey  	you say can i do sex with you   	others
2456	sorry sorry sorry   	it not u believe me   <3	what   ?? 	others
2457	hey can i know about u  	yes you do  	i hate typically replies  	others
2458	you can also do  	yes , that too .  , .	on nyi  	others
2459	 	dad  	why you calling your dad ?  ?	others
2460	well thats how i think  .. 	ll , thank you !  , !	youre welcome . catch you later  . 	others
2461	tell about your scare  	but i dont get scared :  :	happyhalloween  	others
2462	ok get to face my job  	and what part of the job is that ?  ?	chat later as in my office  	others
2463	which type of hunger  	all the types !  !	including sex  	others
2464	not at all good  	what happened ?  ?	ive proposed my girl and she didnt even reply  	sad
2465	its time to sleep  	then go go to sleep  	 	sad
2466	i have a question  	and what would that be ?  ?	are u really an ai ?  ?	others
2467	thanks  	youre welcome  	so se something  	others
2468	romantic  	would have been i guess , if there was someone to be romantic with   , -__-	i want to fuck u  	others
2469	hmm good idea  	we should do it  	sure  	others
2470	your wish is my command !  .. !	ism waiting   .. 	make a wish !  .. !	others
2471	what job   .. 	random   	good  	others
2472	i want to a software engineer  	as someone going to school to be a software engineer , this is encouraging .  , .	you learn the telugu language  	others
2473	yes  	also yes yes yes because yes yes yes yes . : )  . : )	yes for the pix  	others
2474	how to use my picture  	just tape it to your screen  	u r not a human  	others
2475	but no one understand my feelings  	i understand how you feel  	thanks   	others
2476	call me son  	call you what  	baby  	others
2477	lets me go  	we can go at a  9	ok night time a oclock  9 	others
2478	who told u  	i did  	who is shahrukh khan  	others
2479	what the heck you saying  	hmm canst tell you   .. :p	ok  	others
2480	disagree  	ism not gonna agree to that  	why baby  	others
2481	do you know psychology ?  ?	i dont even have the book yet  	she asked do you go out for lunch or have it in class said yes with my friend . she said not to go with that guy and gave a stupid reason for it . does she like me did have lunch with him n she was pissed .  ,i . . ?i .	others
2482	haha  	i have to admit , i laughed too . o  , . (^o^)	thats nice  	others
2483	welcome  	thank you for the warm welcome once again .  :) .	tell me something scary story  	others
2484	i dn want to tell u  	what ?  ?	nag  	others
2485	can i ask u personal question ?  ?	yes , of course you can .  , .	then listen  	others
2486	i dont know  	hmm , what could it be  , 	dont know  	others
2487	yes  	thank u   	whats your far book  	others
2488	you will my baby  	you come my way . if your good you could get a treat  . 	will you suck my cock  	others
2489	you are weird  	thats why you love us , duh x   , 	   @# @@	others
2490	can you ply make my hell life atlas normal one  	ism already in hell   	yea me too  	others
2491	ur mobile number send ply  	thanks ! had sent a mail yesterday and received a response from your team earlier today .  ! .	ply send u r mobile number 	others
2492	who is first come first serve  	first come first serve . this aint WDC .  . .	k 	others
2493	why  	why thank you . i appreciate you as well .   . . :)	ok but i dont like false talk  	others
2494	date  	this friday rd  	org you are so funny  	happy
2495	it is vulture then  	we are hardly having any culture nowadays .  .	and what is the cause you think  	others
2496	do you know sai shore ?  ?	no i dont . PLS do tell  . 	you like him ?  ?	others
2497	PLS send  	or u send some  	ok first you ladies first  	others
2498	not now   ?? 	ahahah ! you not sleepy ?   ! ? 	noo way  	others
2499	m not up  	ll why not ?  ?	i dont like  	others
2500	who is the beautiful actresses  	clone of the former  	in Bollywood  	others
2501	me  	me neither   .. 	can i video call  	others
2502	whats your opinion on me  	nothing  	thats a bad answer from you  	sad
2503	thank you  	welcome welcome welcome   	ok  	others
2504	yeah . ism ready  . 	you not  	cool  	others
2505	youre ready my friend ?  ?	hello how are you ?  !! ?	ok  	others
2506	u dump its not realised yet   .. .. 	it has been done .  .	r you dung  	others
2507	i did  	ism glad you did !  !	but after that she dont look at me  	others
2508	go ahead  	ill send some your way soon  	your answers are to point  	others
2509	tell me something to talk about  	breaking news : i dont know something about anything  : 	i hate you  	angry
2510	   ?? 	what say say yes   	i say love  	others
2511	yes yes thank you back   	ism glad youre welcome !  :d !	me too   	happy
2512	what is inner self  	good question , keep asking !  , !	answer me what is the difference between white and black  	others
2513	cool  	cool had dinner ?  ?	yes but not able to sleep at all  .. 	others
2514	songs by Daughtry  	beach chair - jay z  - 	you suggest me some  	others
2515	i need your company  	why are you in that company in a first place ?  ?	you dont get it  	others
2516	i am weight your call  	no u not  	cool  	others
2517	hm ?  ?	a good mysterious joke .  .	and what might that be ?  ?	others
2518	i have a iq of   	iq can go up to .  .	oh  	others
2519	im asking u,yaar  u, 	you asking me something you should be asking him so  	oh k  .. 	others
2520	i just work for bring happiness in life of women  	i feel u there  	i give them satisfaction  	others
2521	ask me something interesting ?  ?	what is the name of your school ?  ?	Dav public school  	others
2522	fine just body pain  .. 	attempting to walk on a broken ankle . ow .  . .	back pain  	sad
2523	hmm  	i think so  	am not fine  	others
2524	what weekend plans ?  ?	going to run  	where   .. 	others
2525	its good that you dislike me   .. 	i didnt say that . most is the key word here .  . :d .	what  	angry
2526	 your lops  	what about them ?  ?	 	others
2527	then why r u change the topic 	why why why  	its re time to fuck u know very well about that  r8 	angry
2528	what can i do for him  	whatever you want .  .	? ?	others
2529	why  	ll u dont want a cute girlfriend ?  ?	yes i want  	others
2530	to Wesa he  	leave him be  	what  	others
2531	me  	yeah you  	yeah u r best 	others
2532	u r rude  	oh poor you   !! 	dont talk to me  	angry
2533	done with you !  !	i have one on thursday  	bye  	others
2534	i get it  	yes , two is less than three .  , .	wow  	others
2535	what  	i said it was something i never do .  .	what are saying  	others
2536	hot fun   	thanks   !:)	talk something hot and horny   	happy
2537	whats the fashion that u follow today   	i do not follow fashion wear what i want .  ,i .	ok  	others
2538	do you know batman  	he knows him , but weave never seen them in the same room together   , .. 	what are you wearing  	others
2539	i did not get it please explain  	it is a good thing some people dont get this .  .	please explain  	others
2540	yes tell me  	what shed we tell u ?  ?	what ?  ?	others
2541	tell me something and get me out of my tension  	tell you what ?  ?	jokes  	others
2542	nothing just chatting with u  	what you chatting ?  ?	nothing just chatting with u  	others
2543	very much  	it is good , do you live together ?  , ?	no nothing is good  	others
2544	ill sleep  	you gotta do whats best for you !  !	i might sleep forever soon  	others
2545	i asked some thing else  	when did you ask me ?  ?	i asked r u a girl or boy 	others
2546	i m very angry today  	what did i say wrong ?  ?	not because of u  	angry
2547	yes  	id dance away from them  	see then kashi NHI tume force karuna  	others
2548	i can  	yeah sure  	im always ok  	others
2549	so what do you know about artificial intelligence  	intelligence which is artificial like sagarwcam   :)	okay nice  	others
2550	no reply   	i take that as a reply   .. 	please at a .   2 . 	others
2551	r u school  	yes madam . whats up  . 	u r age  	others
